House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
1252,IR966070,Red Feather Lakes,27 Morton Road,Residential,"$215,000",480,480,2,0,05/19/2022,No
1253,IR966026,Longmont,409 Terry Street Unit# D,Residential,"$674,000","1,776","1,073",3,3,05/19/2022,Yes
1254,IR966001,Lyons,817 Hemlock Drive,Residential,"$399,000","1,042",728,2,1,05/19/2022,Yes
1255,IR965977,Boulder,4606 Ipswich Street,Residential,"$869,000","3,244","1,622",3,3,05/19/2022,No
1256,IR966402,Fort Collins,121 E Swallow Road Unit# 203,Residential,"$315,000","1,219","1,219",2,2,05/23/2022,Yes
1257,7625865,Lochbuie,1109 Sunrise Drive,Residential,"$492,460","1,844","1,844",4,3,05/27/2022,Yes
1258,IR966305,Lafayette,2862 Cascade Creek Drive,Residential,"$1,494,000","4,780","3,289",5,4,05/21/2022,Yes
1259,3475748,Northglenn,10031 Melody Drive,Residential,"$540,000","1,868","1,868",3,3,05/27/2022,No
1260,6296661,Conifer,11905 Blackfoot Road,Residential,"$1,257,000","3,768","2,512",4,3,05/27/2022,No
1261,9025685,Severance,804 Elias Tarn Drive,Residential,"$558,210","2,398","2,398",4,3,05/27/2022,Yes
1262,3111010,Evergreen,727 Dreamcatcher Lane,Residential,"$1,395,000","4,991","2,940",4,4,05/27/2022,Yes
1263,6469776,Commerce City,7390 E 82nd Avenue,Residential,"$425,000","1,050","1,050",3,2,05/26/2022,No
1264,IR966579,Johnstown,1001 N 3rd Street,Residential,"$590,000","3,084","1,542",4,3,05/25/2022,No
1265,4252062,Mead,4412 Garnet Way,Residential,"$602,635","2,652","2,652",5,3,05/26/2022,Yes
1266,8770774,Mead,4410 Garnet Way,Residential,"$583,495","2,398","2,398",4,3,05/26/2022,Yes
1267,4714267,Denver,1166 Krameria Street,Residential,"$524,900","1,796","1,250",2,2,05/26/2022,No
1268,1808820,Louisville,1642 Washington Avenue,Residential,"$820,000","1,848","1,848",4,3,05/26/2022,No
1269,3610285,Aurora,2986 S Parker Court,Residential,"$435,000","2,433","1,771",4,4,05/26/2022,Yes
1270,IR966727,Severance,1063 Mt Columbia Drive,Residential,"$590,000","4,341","2,979",4,4,05/26/2022,No
1271,8160961,Denver,3503 W Ada Place,Residential,"$335,000",842,471,2,1,05/27/2022,No
1272,9793346,Littleton,8784 W Star Drive,Residential,"$599,900","1,201","1,201",3,2,05/26/2022,No
1273,5856628,Carr,6819 Ranchland Lane,Residential,"$1,299,000","3,585","1,934",5,3,05/26/2022,Yes
1274,5130475,Colorado Springs,2183 Shady Aspen Drive,Residential,"$465,000","1,566","1,566",3,3,05/27/2022,Yes
1275,IR966735,Fort Collins,2608 Kansas Drive Unit# A107,Residential,"$450,000","1,934","1,139",3,4,05/24/2022,Yes
1276,IR966526,Erie,288 Horizon Avenue,Residential,"$1,000,000","4,664","2,341",4,3,05/25/2022,Yes
