House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
186,3282010,Boulder,5505 Valmont Road Lot 202,Manufactured In Park,"$80,000","1,020","1,020",4,2,05/27/2022,Yes
187,4797134,Peyton,12166 Sunset Crater Drive,Residential,"$625,000","3,799","2,539",5,4,05/27/2022,Yes
188,5072923,Keenesburg,1985 County Road 55,Residential,"$649,900","3,951","1,976",4,3,05/27/2022,No
189,9196896,Buena Vista,102 S Colorado Avenue,Residential,"$725,000","1,824","1,824",2,3,05/27/2022,No
190,9775441,Evergreen,1699 Stoneham Lane,Residential,"$1,225,000","4,158","2,486",3,3,05/27/2022,Yes
191,1990021,Thornton,3549 E 94th Avenue,Residential,"$429,900","1,535","1,535",3,3,05/27/2022,Yes
192,6707698,Nathrop,10795 County Road 197a Unit# 188,Residential,"$199,500",351,351,1,1,05/27/2022,Yes
193,6640210,Denver,2526 N Gaylord Street,Residential Lease,"$5,500","3,255","2,355",5,4,05/27/2022,
194,8075811,Longmont,1400 S Collyer Street Unit# 295,Residential,"$115,000",976,976,2,2,05/27/2022,Yes
195,7311566,Denver,621 Kearney Street,Residential Lease,"$7,500","2,951","2,124",4,3,05/27/2022,
196,9305181,Colorado Springs,8297 Kettle Drum Street,Residential,"$470,000","2,156","2,120",4,4,05/27/2022,Yes
197,3234493,Eaton,124 E 4th Street,Residential,"$269,900","1,296","1,296",3,2,05/27/2022,No
198,7742810,Alamosa,7559 Badger Lane,Residential,"$205,000","1,216","1,216",3,2,05/27/2022,No
199,8013470,Thornton,13089 Steele Drive,Residential,"$680,000","3,588","2,024",4,3,05/27/2022,No
200,6121339,Buena Vista,17210 County Road 338,Residential,"$570,000","1,514","1,514",2,2,05/27/2022,No
201,5991900,Colorado Springs,5244 Castlewood Canyon Court,Residential,"$739,900","3,709","2,445",5,4,05/27/2022,Yes
202,3563332,Brighton,6702 E 123rd Place,Residential,"$495,000","1,243","1,243",3,3,05/27/2022,No
203,4457083,Parker,10895 Ridge Pointe Lane,Residential,"$929,000","4,688","3,078",4,5,05/27/2022,Yes
204,9893669,Fairplay,179 Sunshine Drive,Land,"$124,999",,,,,05/27/2022,No
205,5402784,Hartsel,6944 Jefferson Road,Land,"$29,900",,,,,05/27/2022,No
206,5153262,Hartsel,2141 Windmill Drive,Residential,"$575,000","2,048","1,024",2,3,05/27/2022,Yes
207,8887858,Colorado Springs,1413 Arch Street,Residential,"$390,000",994,994,0,0,05/27/2022,No
208,3045045,Castle Rock,595 S Lindsey Street,Residential,"$549,999","1,957","1,507",3,3,05/27/2022,Yes
209,9617139,Bayfield,1291 Pine Tree Drive,Land,"$49,999",,,,,05/27/2022,No
210,3845980,Cripple Creek,142 Mystic Valley Heights,Land,"$40,000",,,,,05/27/2022,No
211,6479188,Denver,1750 Wewatta Street Unit# 631,Residential Lease,"$4,000","1,289","1,289",2,2,05/27/2022,
212,7052918,Denver,1750 Wewatta Street Unit# 929,Residential Lease,"$3,150",897,897,1,1,05/27/2022,
213,2818557,Hartsel,1591 Blacksmith Road,Land,"$104,999",,,,,05/27/2022,Yes
